Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
Palantir Technologies Inc,PLTR,Buy,Filled,10,10,@160.97,160.97,DAY,08/22/2025 10:58:22 EDT,08/22/2025 10:58:23 EDT
ProShares UltraPro QQQ,TQQQ,Buy,Filled,10,10,@91.08,91.08,DAY,08/22/2025 10:47:16 EDT,08/22/2025 10:47:16 EDT
ProShares UltraPro Dow30,UDOW,Buy,Cancelled,0,5,@100.25,,DAY,08/22/2025 10:27:45 EDT,
Uber Technologies,UBER,Sell,Filled,2,2,@96.53,96.53,DAY,08/22/2025 10:26:39 EDT,08/22/2025 10:29:24 EDT
Uber Technologies,UBER,Sell,Filled,8,8,@96.50,96.50,DAY,08/22/2025 10:18:12 EDT,08/22/2025 10:25:32 EDT
Delek Us Hldgs Inc,DK,Buy,Filled,20,20,@22.55,22.55,DAY,08/22/2025 09:45:27 EDT,08/22/2025 09:45:27 EDT
APA Corp (US),APA,Buy,Filled,50,50,@20.97,20.97,DAY,08/22/2025 09:44:05 EDT,08/22/2025 09:44:05 EDT
Corteva Inc,CTVA,Sell,Filled,15,15,@73.28,73.28,DAY,08/22/2025 09:38:59 EDT,08/22/2025 09:38:59 EDT
Walmart,WMT,Sell,Cancelled,0,5,@99.06,,DAY,08/22/2025 09:37:27 EDT,
Uber Technologies,UBER,Sell,Filled,10,10,@96.52,96.52,DAY,08/22/2025 09:36:17 EDT,08/22/2025 10:03:12 EDT
Walmart,WMT,Buy,Filled,10,10,@97.53,97.53,DAY,08/22/2025 08:01:09 EDT,08/22/2025 08:01:12 EDT
Expand Energy,EXE,Buy,Filled,15,15,@95.69,95.69,DAY,08/21/2025 17:59:57 EDT,08/21/2025 17:59:57 EDT
Par Pcifc Hldngs,PARR,Short,Cancelled,0,20,@30.60,,DAY,08/21/2025 17:24:24 EDT,
Expand Energy,EXE,Short,Filled,3,3,@95.31,95.31,DAY,08/21/2025 14:37:54 EDT,08/21/2025 14:37:54 EDT
Us Bancorp,USB,Sell,Filled,20,20,@46.31,46.31,DAY,08/21/2025 14:35:34 EDT,08/21/2025 14:35:48 EDT
Corteva Inc,CTVA,Buy,Filled,15,15,@72.90,72.90,DAY,08/21/2025 08:59:09 EDT,08/21/2025 08:59:09 EDT
ProShares UltraPro Dow30,UDOW,Sell,Filled,11,11,@97.29,97.29,DAY,08/21/2025 06:27:08 EDT,08/21/2025 06:27:19 EDT
Expand Energy,EXE,Short,Filled,2,2,@94.01,94.01,DAY,08/20/2025 17:42:19 EDT,08/20/2025 18:20:08 EDT
Us Bancorp,USB,Buy,Filled,20,20,@46.15,46.15,DAY,08/20/2025 13:04:53 EDT,08/20/2025 13:05:05 EDT
Best Buy Inc,BBY,Sell,Filled,10,10,@72.43,72.43,DAY,08/20/2025 13:01:22 EDT,08/20/2025 13:01:22 EDT
Uber Technologies,UBER,Buy,Cancelled,0,5,@90.49,,DAY,08/20/2025 10:55:34 EDT,
Uber Technologies,UBER,Buy,Filled,5,5,@92.80,92.80,DAY,08/20/2025 09:58:15 EDT,08/20/2025 09:59:59 EDT
ProShares UltraPro Dow30,UDOW,Sell,Cancelled,0,11,@99.63,,DAY,08/20/2025 07:17:36 EDT,
Uber Technologies,UBER,Sell,Cancelled,0,5,@96.99,,DAY,08/20/2025 07:06:32 EDT,
Expand Energy,EXE,Short,Filled,5,5,@93.05,93.05,DAY,08/20/2025 06:42:30 EDT,08/20/2025 06:57:53 EDT
Expand Energy,EXE,Short,Filled,5,5,@93.05,93.05,DAY,08/20/2025 06:42:09 EDT,08/20/2025 06:42:10 EDT
Ionis Pharmaceuticals,IONS,Sell,Filled,15,15,@42.49,42.49,DAY,08/20/2025 06:41:00 EDT,08/20/2025 07:00:35 EDT
Best Buy Inc,BBY,Buy,Filled,10,10,@74.10,74.10,DAY,08/19/2025 16:22:31 EDT,08/19/2025 16:22:31 EDT
Uber Technologies,UBER,Sell,Cancelled,0,5,@96.61,,DAY,08/19/2025 11:32:18 EDT,
Uber Technologies,UBER,Sell,Filled,5,5,@95.95,95.95,DAY,08/19/2025 10:39:24 EDT,08/19/2025 11:26:27 EDT
Uber Technologies,UBER,Sell,Filled,5,5,@95.34,95.34,DAY,08/19/2025 10:19:11 EDT,08/19/2025 10:19:22 EDT
ProShares UltraPro Dow30,UDOW,Buy,Filled,11,11,@98.69,98.69,DAY,08/18/2025 09:19:37 EDT,08/18/2025 09:19:38 EDT
Expand Energy,EXE,Short,Cancelled,0,10,@95.00,,DAY,08/18/2025 09:06:31 EDT,
Expand Energy,EXE,Buy,Filled,10,10,@95.82,95.82,DAY,08/18/2025 09:00:43 EDT,08/18/2025 09:00:43 EDT
Ionis Pharmaceuticals,IONS,Buy,Filled,5,5,@43.90,43.90,DAY,08/18/2025 08:26:04 EDT,08/18/2025 08:26:04 EDT
Expand Energy,EXE,Short,Filled,10,10,@94.70,94.70,DAY,08/18/2025 07:55:11 EDT,08/18/2025 08:55:35 EDT
Corteva Inc,CTVA,Sell,Filled,15,15,@71.76,71.76,DAY,08/18/2025 06:01:08 EDT,08/18/2025 06:01:08 EDT
Ionis Pharmaceuticals,IONS,Buy,Filled,10,10,@43.13,43.13,DAY,08/15/2025 10:08:34 EDT,08/15/2025 10:14:29 EDT
Uber Technologies,UBER,Buy,Filled,5,5,@92.80,92.80,DAY,08/15/2025 10:06:59 EDT,08/15/2025 10:06:59 EDT
Cisco Sys Inc,CSCO,Sell,Filled,20,20,@67.20,67.20,DAY,08/15/2025 10:05:33 EDT,08/15/2025 10:05:34 EDT
Corteva Inc,CTVA,Buy,Filled,14,14,@71.87,71.87,DAY,08/15/2025 05:32:21 EDT,08/15/2025 05:56:33 EDT
Corteva Inc,CTVA,Buy,Cancelled,1,15,@71.51,71.51,DAY,08/14/2025 18:18:12 EDT,08/14/2025 18:58:24 EDT
The Campbell's Company,CPB,Buy,Filled,20,20,@32.60,32.60,DAY,08/14/2025 18:06:47 EDT,08/14/2025 18:06:47 EDT
Cisco Sys Inc,CSCO,Buy,Filled,10,10,@69.33,69.33,DAY,08/14/2025 11:24:07 EDT,08/14/2025 11:24:07 EDT
iShares US Aerospace & Defense ETF,ITA,Sell,Filled,10,10,@196.52,196.52,DAY,08/14/2025 11:23:59 EDT,08/14/2025 11:23:59 EDT
Cisco Sys Inc,CSCO,Buy,Filled,10,10,@70.55,70.55,DAY,08/14/2025 10:16:52 EDT,08/14/2025 10:16:52 EDT
Ionis Pharmaceuticals,IONS,Sell,Filled,5,5,@42.50,42.50,DAY,08/14/2025 09:48:02 EDT,08/14/2025 09:48:18 EDT
Ionis Pharmaceuticals,IONS,Sell,Filled,5,5,@43.10,43.10,DAY,08/13/2025 18:07:43 EDT,08/13/2025 18:46:25 EDT
iShares US Aerospace & Defense ETF,ITA,Buy,Filled,10,10,@194.64,194.64,DAY,08/13/2025 13:18:48 EDT,08/13/2025 13:18:49 EDT
Ionis Pharmaceuticals,IONS,Sell,Filled,15,15,@42.71,42.71,DAY,08/13/2025 13:16:49 EDT,08/13/2025 13:16:49 EDT
